field_path,source_entity,exists_in_mapping,gdc_type,gdc_description,n_cases,n_available,n_missing,pct_missing,n_usable,value_kind,numeric_min,numeric_max,n_negative_values,n_zero_values,n_distinct,distinct_values,n_cases_with_multiple_nonnull,n_cases_with_disagreeing_values,n_nested_records_observed,n_gdc_missing_code_records
diagnoses.treatments.treatment_or_therapy,treatment,True,keyword,An indicator related to the administration of the treatment specified in the treatment_type field.,2492,2151,341,13.68,2151,categorical,,,,,3,yes (n=7254) | no (n=2001) | unknown (n=222),2151,1886,9477,222
diagnoses.treatments.therapeutic_agents,treatment,True,keyword,Text identification of the individual agent(s) used as part of a treatment regimen.,2492,876,1616,64.85,876,categorical,,,,,1,Gemtuzumab Ozogamicin (n=876),0,0,876,0
diagnoses.treatments.protocol_identifier,treatment,True,keyword,"A sequence of letters, numbers, or other characters that uniquely identifies a study protocol.",2492,2151,341,13.68,2151,categorical,,,,,5,AAML1031 (n=1115) | AAML0531 (n=798) | AAML03P1 (n=100) | AAML0631 (n=71) | CCG2961 (n=67),0,0,2151,0
diagnoses.treatments.days_to_treatment_start,treatment,True,long,Number of days between the date used for index and the date the treatment started.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.treatments.days_to_treatment_end,treatment,True,long,Number of days between the date used for index and the date the treatment ended.,2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.treatments.timepoint_category,treatment,True,keyword,"Category describing a specific point in the time continuum, including those established relative to an event.",2492,2151,341,13.68,2151,categorical,,,,,2,End of Treatment Course (n=4299) | First Complete Response (n=2151),2151,2151,6450,0
diagnoses.treatments.treatment_outcome,treatment,True,keyword,Text term that describes the patient's final outcome after the treatment was administered.,2492,2117,375,15.05,1784,categorical,,,,,2,Complete Response (n=3162) | Unknown (n=1060),2105,399,4222,1060
diagnoses.treatments.course_number,treatment,True,double,"The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.",2492,2151,341,13.68,2151,numeric,1.0,2.0,0,0,,,2148,2148,4299,0
diagnoses.treatments.treatment_intent_type,treatment,True,keyword,Text term to identify the reason for the administration of a treatment regimen. [Manually-curated],2492,0,2492,100.0,0,empty,,,,,0,,0,0,0,0
diagnoses.treatments.reason_treatment_ended,treatment,True,keyword,The text term used to describe the reason a specific treatment or regimen ended.,2492,2151,341,13.68,2151,categorical,,,,,2,Course of Therapy Completed (n=4222) | Death (n=77),2148,9,4299,0
